HC_ID_si(us),HC_SN_si(us),HA_ID_si(us),HA_SN_si(us),BST_ID_si(us),BST_SN_si(us),HC_ID_no(us),HC_SN_no(us),HA_ID_no(us),HA_SN_no(us),BST_ID_no(us),BST_SN_no(us)
16,8,18,11,31,52,14,25,9,17,0,9
4,3,4,3,8,19,5,9,18,6,0,9
26,12,29,17,58,306,30,45,63,283,4,16
10,5,12,7,24,92,20,32,12,24,0,10
7,4,7,5,16,30,6,11,4,8,0,8
7,3,7,4,14,27,5,10,3,8,0,8
6,3,6,4,13,26,5,9,4,7,0,8
6,3,6,4,13,24,5,9,4,7,0,8
5,3,6,3,13,24,5,9,4,7,0,8
4,2,3,2,6,15,4,8,2,5,0,8
6,3,6,3,13,24,5,9,3,7,0,8
6,3,6,3,13,24,5,9,3,7,0,8
6,3,6,3,12,24,5,9,3,7,0,8
7,4,6,4,14,33,6,10,4,8,0,9
7,4,7,4,14,33,6,10,4,7,0,9
7,4,7,4,26,33,6,11,4,7,0,9
7,4,7,5,14,33,6,10,4,7,0,9
7,4,7,5,14,33,6,10,4,7,0,9
7,4,6,5,14,37,14,11,4,7,0,9
6,3,6,3,12,24,5,9,4,7,0,8
6,3,6,3,12,23,5,9,4,7,0,8
5,3,6,3,12,24,5,9,3,7,0,8
7,4,7,5,15,34,6,11,4,8,0,9
10,5,10,7,21,45,7,12,6,10,0,9
8,4,8,6,17,36,6,11,4,8,0,9
6,3,6,4,13,24,5,9,4,7,0,8
6,3,6,3,12,23,5,9,3,7,0,8
6,3,6,4,12,35,5,9,3,7,0,8
7,4,6,5,14,33,6,10,4,7,0,9
7,4,7,4,14,33,6,10,4,7,0,9
7,4,6,4,14,33,6,10,4,7,0,9
7,4,7,4,14,55,6,34,4,7,0,9
5,19,6,3,12,23,5,9,4,7,0,8
5,3,6,3,12,23,5,9,4,7,0,8
5,3,5,3,12,23,5,9,4,7,0,8
6,3,6,4,12,23,5,9,4,7,0,8
7,4,7,4,14,33,6,10,4,7,0,9
7,4,6,4,14,33,6,10,4,7,0,9
7,4,6,4,14,33,6,10,4,7,0,9
7,4,7,5,14,33,6,10,4,7,0,9
7,4,7,4,14,33,6,11,4,7,0,9
7,4,7,4,14,32,6,11,4,7,0,9
7,4,7,5,14,33,6,10,4,7,0,9
7,4,7,4,14,33,6,10,4,7,0,9
7,4,7,5,14,33,10,10,4,17,0,9
7,4,7,5,14,33,6,10,4,7,0,9
7,4,6,5,14,33,6,10,4,7,0,9
7,4,7,5,14,33,6,10,4,7,0,9
7,4,7,5,14,33,6,11,4,7,0,9
5,3,6,4,12,24,5,9,4,8,0,8
