Cantidad,t_HC_ID,t_HC_SN,t_HA_ID,t_HA_SN,t_BST_ID,t_BTS_SN,s_HC_ID,s_HC_SN,s_HA_ID,s_HA_SN,s_BST_ID,s_BTS_SN
1000,46,35,252,201,286,334,9461429,26672,26672,40008,40008,24000,24000
5000,225,188,591,212,468,618,60762322,133344,133344,200016,200016,120000,120000
10000,451,377,722,549,1224,1387,115794020,266672,266672,400008,400008,240000,240000
15000,673,575,1446,790,2039,2390,171133622,400016,400016,600024,600024,360000,360000
20000,886,743,1418,1611,2981,3324,225267886,533344,533344,800016,800016,480000,480000
30000,1400,1117,2193,2295,5794,8367,337987014,800016,800016,1200024,1200024,720000,720000
1000,45,36,75,54,72,88,9461429,26672,26672,40008,40008,24000,24000
5000,222,180,275,209,437,547,60762322,133344,133344,200016,200016,120000,120000
10000,463,368,506,349,999,1198,115794020,266672,266672,400008,400008,240000,240000
15000,702,549,751,562,1656,1997,171133622,400016,400016,600024,600024,360000,360000
20000,912,738,1221,708,2504,3069,225267886,533344,533344,800016,800016,480000,480000
30000,1392,1310,1739,2970,4995,5845,337987014,800016,800016,1200024,1200024,720000,720000
1000,45,36,92,52,71,93,9461429,26672,26672,40008,40008,24000,24000
5000,224,202,266,384,409,504,60762322,133344,133344,200016,200016,120000,120000
10000,445,382,483,338,979,1132,115794020,266672,266672,400008,400008,240000,240000
15000,685,531,765,511,1622,1928,171133622,400016,400016,600024,600024,360000,360000
20000,1372,739,1019,730,2604,2864,225267886,533344,533344,800016,800016,480000,480000
30000,1333,1146,1760,1757,4658,5635,337987014,800016,800016,1200024,1200024,720000,720000
1000,45,36,67,51,53,66,9461429,26672,26672,40008,40008,24000,24000
5000,218,182,286,173,404,485,60762322,133344,133344,200016,200016,120000,120000
10000,429,382,551,350,986,1181,115794020,266672,266672,400008,400008,240000,240000
15000,668,536,743,633,1687,1980,171133622,400016,400016,600024,600024,360000,360000
20000,861,754,1064,696,2681,3477,225267886,533344,533344,800016,800016,480000,480000
30000,1329,1197,1689,1724,4805,5875,337987014,800016,800016,1200024,1200024,720000,720000
1000,43,36,71,51,54,65,9461429,26672,26672,40008,40008,24000,24000
5000,226,176,253,168,424,479,60762322,133344,133344,200016,200016,120000,120000
10000,428,368,478,371,978,1186,115794020,266672,266672,400008,400008,240000,240000
15000,655,533,739,511,1778,2095,171133622,400016,400016,600024,600024,360000,360000
20000,874,738,1035,702,3249,3289,225267886,533344,533344,800016,800016,480000,480000
30000,1325,1158,1762,1840,5491,8705,337987014,800016,800016,1200024,1200024,720000,720000
1000,44,36,67,52,54,65,9461429,26672,26672,40008,40008,24000,24000
5000,216,176,246,169,409,492,60762322,133344,133344,200016,200016,120000,120000
10000,446,367,479,342,1045,1160,115794020,266672,266672,400008,400008,240000,240000
15000,658,546,753,621,1683,1984,171133622,400016,400016,600024,600024,360000,360000
20000,860,746,979,700,2346,2786,225267886,533344,533344,800016,800016,480000,480000
30000,1368,1077,1709,1621,5326,6709,337987014,800016,800016,1200024,1200024,720000,720000
1000,58,36,67,49,54,65,9461429,26672,26672,40008,40008,24000,24000
5000,237,176,243,169,398,505,60762322,133344,133344,200016,200016,120000,120000
10000,427,370,493,354,973,1142,115794020,266672,266672,400008,400008,240000,240000
15000,654,543,780,522,1627,2447,171133622,400016,400016,600024,600024,360000,360000
20000,868,767,1003,722,2382,4013,225267886,533344,533344,800016,800016,480000,480000
30000,1351,1127,1994,2243,5638,7027,337987014,800016,800016,1200024,1200024,720000,720000
1000,44,35,68,55,53,64,9461429,26672,26672,40008,40008,24000,24000
5000,238,175,254,169,401,482,60762322,133344,133344,200016,200016,120000,120000
10000,431,370,492,347,991,1181,115794020,266672,266672,400008,400008,240000,240000
15000,660,531,802,513,1739,2074,171133622,400016,400016,600024,600024,360000,360000
20000,879,761,1542,772,2414,3176,225267886,533344,533344,800016,800016,480000,480000
30000,1361,1095,1783,1659,5194,6680,337987014,800016,800016,1200024,1200024,720000,720000
1000,44,35,71,50,71,66,9461429,26672,26672,40008,40008,24000,24000
5000,220,176,244,170,398,501,60762322,133344,133344,200016,200016,120000,120000
10000,445,357,478,482,982,1140,115794020,266672,266672,400008,400008,240000,240000
15000,677,532,725,522,1741,1948,171133622,400016,400016,600024,600024,360000,360000
20000,1191,778,989,705,2349,2771,225267886,533344,533344,800016,800016,480000,480000
30000,1335,1093,1795,2109,6866,9758,337987014,800016,800016,1200024,1200024,720000,720000
1000,44,36,71,55,53,64,9461429,26672,26672,40008,40008,24000,24000
5000,217,175,242,169,397,497,60762322,133344,133344,200016,200016,120000,120000
10000,446,357,481,337,1025,1209,115794020,266672,266672,400008,400008,240000,240000
15000,658,701,737,512,1636,1926,171133622,400016,400016,600024,600024,360000,360000
20000,862,753,993,722,2358,2796,225267886,533344,533344,800016,800016,480000,480000
30000,1343,1076,1732,2688,5851,6552,337987014,800016,800016,1200024,1200024,720000,720000
1000,46,36,87,52,54,65,9461429,26672,26672,40008,40008,24000,24000
5000,219,205,243,168,398,482,60762322,133344,133344,200016,200016,120000,120000
10000,429,371,512,341,1006,1160,115794020,266672,266672,400008,400008,240000,240000
15000,679,543,823,530,1659,1966,171133622,400016,400016,600024,600024,360000,360000
20000,887,737,999,693,2359,2793,225267886,533344,533344,800016,800016,480000,480000
30000,1327,1112,1719,1822,4949,5921,337987014,800016,800016,1200024,1200024,720000,720000
1000,45,35,71,67,54,65,9461429,26672,26672,40008,40008,24000,24000
5000,220,198,243,171,399,493,60762322,133344,133344,200016,200016,120000,120000
10000,429,370,504,339,981,1171,115794020,266672,266672,400008,400008,240000,240000
15000,652,633,740,651,1651,1964,171133622,400016,400016,600024,600024,360000,360000
20000,866,844,977,715,2449,2841,225267886,533344,533344,800016,800016,480000,480000
30000,1326,1194,1739,2438,5292,5897,337987014,800016,800016,1200024,1200024,720000,720000
